Date,ABR,BAS,BZ,CAL,CAM,EMR,FVG,LAZ,LIG,LOM,MAR,MOL,PIE,PUG,SAR,SIC,TN,TOS,UMB,VDA,VEN
2020-02-22,17194.437534246576,3895.3677625570776,23042.845205479454,20358.238356164384,360774.77232876717,128001.64383561644,23155.446027397265,498880.8789041096,126409.96315068493,614974.2219178082,31994.853150684936,5266.744109589041,138878.52602739725,45527.43561643836,11232.11506849315,33870.33328767124,11046.010136986302,240312.4654109589,24977.268493150685,10488.133561643835,188015.51712328766
2020-02-23,18757.56821917808,4302.346484018265,26185.051369863013,20358.238356164384,393572.47890410956,128001.64383561644,25260.486575342467,522637.1112328767,132429.48520547946,614974.2219178082,34903.47616438356,6144.534794520548,138878.52602739725,59185.66630136986,13478.53808219178,35483.206301369864,12552.284246575344,257078.451369863,25532.318904109587,11746.709589041095,192193.63972602738
2020-02-24,17194.437534246576,4709.325205479452,20948.04109589041,19679.630410958904,311578.21246575343,118401.52054794521,21050.405479452056,475124.64657534246,117380.68006849315,507353.7330821917,31510.082648401825,4388.953424657534,104158.89452054794,45527.43561643836,11232.11506849315,32257.460273972603,10041.827397260275,234723.8034246575,15541.411506849314,11327.184246575343,183837.39452054794
2020-02-25,15631.306849315068,3139.5501369863014,19376.93801369863,19001.022465753424,311578.21246575343,108801.39726027398,16840.324383561645,427612.1819178082,102331.87493150684,399733.24424657534,28116.689132420088,4388.953424657534,97214.96821917807,43820.15678082192,11232.11506849315,29031.714246575342,9288.690342465754,212369.15547945205,15541.411506849314,10348.291780821919,116987.43287671231
2020-02-26,14068.176164383562,3139.5501369863014,17805.834931506848,18322.414520547947,311578.21246575343,99201.27397260274,16840.324383561645,423652.80986301374,102331.87493150684,399733.24424657534,24723.295616438354,4388.953424657534,104158.89452054794,42112.87794520548,11232.11506849315,29031.714246575342,8535.553287671233,190014.50753424657,15541.411506849314,9369.399315068493,116987.43287671231
2020-02-27,14068.176164383562,3139.5501369863014,17805.834931506848,17643.806575342467,311578.21246575343,89601.1506849315,16840.324383561645,419693.4378082192,102331.87493150684,399733.24424657534,24591.085479452056,4388.953424657534,111102.8208219178,40405.59910958904,11232.11506849315,29031.714246575342,8535.553287671233,188998.38717310087,15541.411506849314,8390.506849315068,116987.43287671231
2020-02-28,14068.176164383562,3139.5501369863014,17805.834931506848,16965.198630136987,311578.21246575343,89601.1506849315,16840.324383561645,415734.0657534247,102331.87493150684,399733.24424657534,24458.875342465755,4388.953424657534,111102.8208219178,38698.320273972604,11232.11506849315,29031.714246575342,8535.553287671233,187982.26681195517,15541.411506849314,8390.506849315068,116987.43287671231
2020-02-29,14068.176164383562,3488.38904109589,17805.834931506848,16286.590684931507,311578.21246575343,89601.1506849315,16840.324383561645,411774.6936986302,102331.87493150684,399733.24424657534,24326.665205479454,4388.953424657534,111102.8208219178,38698.320273972604,11232.11506849315,29031.714246575342,8535.553287671233,186966.1464508095,15541.411506849314,8390.506849315068,116987.43287671231
2020-03-01,14068.176164383562,3313.9695890410953,17805.834931506848,16286.590684931507,311578.21246575343,89601.1506849315,12630.243287671234,407815.3216438357,102331.87493150684,399733.24424657534,24194.455068493153,4388.953424657534,111102.8208219178,38698.320273972604,11021.512910958903,29031.714246575342,8535.553287671233,185950.0260896638,15541.411506849314,8390.506849315068,116987.43287671231
2020-03-02,14068.176164383562,3139.550136986301,17805.834931506848,16286.590684931507,311578.21246575343,89601.1506849315,14735.283835616437,403855.9495890412,102331.87493150684,399733.24424657534,24062.24493150685,4388.953424657534,111102.8208219178,38698.320273972604,10810.910753424656,29031.714246575342,8535.553287671233,184933.9057285181,15541.411506849314,8390.506849315068,116987.43287671231
2020-03-03,14068.176164383562,2965.130684931506,17805.834931506848,16286.590684931507,311578.21246575343,89601.1506849315,15156.29194520548,399896.5775342466,102331.87493150684,399733.24424657534,23930.03479452055,4388.953424657534,111102.8208219178,38698.320273972604,10600.30859589041,29031.714246575342,8535.553287671233,183917.7853673724,15541.411506849314,8390.506849315068,116987.43287671231
2020-03-04,14068.176164383562,2790.7112328767116,17805.834931506848,16286.590684931507,311578.21246575343,89601.1506849315,15577.300054794521,395937.2054794521,102331.87493150684,399733.24424657534,23797.824657534253,4388.953424657534,111102.8208219178,38698.320273972604,10389.706438356165,29031.714246575342,8535.553287671233,182901.66500622669,15541.411506849314,8390.506849315068,116987.43287671231
2020-03-05,12931.353848069737,2616.291780821917,17805.834931506848,16286.590684931507,311578.21246575343,89601.1506849315,15998.308164383563,391977.8334246576,102331.87493150684,399733.24424657534,23665.614520547948,4089.706600249066,111102.8208219178,36008.062714819425,10179.104280821917,29031.714246575342,8535.553287671233,181885.54464508098,15541.411506849314,8250.66506849315,116987.43287671231
2020-03-06,11794.531531755914,2441.872328767123,17805.834931506848,15065.096383561644,284028.13894246577,89601.1506849315,16419.316273972603,388018.4613698631,102331.87493150684,399733.24424657534,23533.404383561647,3790.4597758405976,111102.8208219178,33317.805155666254,9968.502123287672,25805.968219178085,8535.553287671233,180869.42428393528,15541.411506849314,8110.823287671232,116987.43287671231
2020-03-07,10657.709215442092,2267.4528767123284,17805.834931506848,13843.60208219178,256478.06541917808,89601.1506849315,16840.324383561645,384059.0893150685,102331.87493150684,399733.24424657534,23401.194246575345,3491.212951432129,111102.8208219178,30627.547596513075,9757.899965753424,22580.22219178082,8535.553287671233,179853.30392278958,15541.411506849314,7970.981506849314,116987.43287671231
2020-03-08,9520.886899128267,2093.0334246575335,17805.834931506848,12622.107780821918,228927.99189589045,89601.1506849315,18945.36493150685,380099.717260274,102331.87493150684,399733.24424657534,23268.984109589044,3191.966127023661,100686.93136986301,27937.2900373599,9547.297808219178,19354.476164383563,8535.553287671233,178837.18356164385,15541.411506849314,6712.405479452055,116987.43287671231
2020-03-09,8384.064582814444,1918.6139726027393,15536.463812785389,11400.613479452057,201377.91837260278,80458.17612524462,16990.68442270059,339374.74755381607,91152.7625440313,360199.18712328764,20775.87866927593,2892.719302615193,90271.04191780824,25247.032478206726,8584.545088062621,17511.192720156556,7447.688652968038,159676.05675146772,13955.553189823875,5993.219178082192,91918.69726027397
2020-03-10,7247.242266500622,1744.1945205479449,13267.092694063926,10179.119178082192,173827.84484931506,71315.20156555774,15036.003913894327,298649.7778473581,79973.65015655577,320665.13,18282.77322896282,2593.4724782067246,79855.15246575345,22556.77491905355,7621.792367906066,15667.909275929549,6359.824018264841,140514.9299412916,12369.694872798435,5274.032876712328,80219.95397260274
2020-03-11,6110.419950186799,1569.7750684931505,10997.721575342466,8957.624876712329,146277.7713260274,62172.227005870845,13081.323405088064,257924.80814090016,68794.53776908023,281131.0728767123,15789.667788649705,2294.225653798256,69439.26301369864,19866.517359900376,6659.03964774951,13824.625831702542,5271.959383561644,121353.80313111545,10783.836555772994,4554.846575342465,68521.2106849315
2020-03-12,4973.597633872975,1395.355616438356,8728.350456621005,7736.130575342466,118727.69780273973,53029.25244618395,11126.6428962818,217199.83843444227,57615.42538160469,241597.01575342467,13296.562348336594,1994.9788293897882,59023.37356164385,17176.2598007472,5696.286927592955,11981.342387475537,4184.094748858448,102192.67632093934,9197.978238747553,3835.6602739726027,56822.467397260276
2020-03-13,3836.7753175591524,1220.9361643835614,6458.979337899544,6514.636273972603,91177.62427945207,43886.27788649707,9171.96238747554,176474.86872798434,46436.31299412915,202062.958630137,10803.456908023483,1695.73200498132,48607.48410958905,14486.002241594026,4733.534207436399,10138.058943248532,3096.2301141552516,83031.54951076322,7612.119921722114,3116.4739726027397,45123.72410958904
2020-03-14,2699.9530012453297,1046.516712328767,4189.608219178082,5293.14197260274,63627.55075616438,34743.30332681018,7217.281878669277,135749.89902152642,35257.20060665361,162528.90150684933,8310.351467710372,1396.4851805728517,38191.594657534246,11795.744682440849,3770.781487279844,8294.775499021525,2008.365479452055,63870.422700587085,6026.261604696674,2397.2876712328766,33424.98082191781
2020-03-15,1563.130684931507,872.0972602739726,4189.608219178082,4071.6476712328767,36077.477232876714,25600.32876712329,5262.601369863014,95024.9293150685,24078.088219178084,122994.84438356163,5817.246027397261,1097.2383561643835,27775.70520547945,9105.487123287672,2808.0287671232877,6451.492054794521,2008.365479452055,44709.29589041096,4440.403287671233,1678.1013698630138,33424.98082191781
2020-03-16,1563.130684931507,844.6884892367905,5237.010273972603,3926.23168297456,36077.477232876714,24868.89080234834,5142.3133385518595,92309.93133463796,23648.12235812133,119041.43867123289,7271.557534246575,1081.5635225048923,27279.71046966732,8845.330348336594,2759.8911311154598,6244.122667318983,2510.4568493150687,67063.94383561643,4424.544704500979,2517.1520547945206,41781.22602739726
2020-03-17,1563.130684931507,817.2797181996085,5059.757618545837,3780.815694716243,36077.477232876714,24137.452837573386,5022.025307240706,89594.93335420743,23218.15649706458,115088.03295890412,7025.443279241306,1065.888688845401,26783.715733855188,8585.173573385518,2711.7534951076323,6036.753279843445,2425.48754056902,64484.56138040042,4408.686121330724,2293.405205479452,39981.41936775553
2020-03-18,1563.130684931507,789.8709471624265,4882.504963119072,3635.3997064579257,36077.477232876714,23406.01487279843,4901.73727592955,86879.9353737769,22788.190636007832,111134.62724657536,6779.329024236038,1050.2138551859098,26287.72099804306,8325.01679843444,2663.6158590998043,5829.383892367907,2340.5182318229718,61905.178925184395,4392.827538160469,2069.6583561643833,38181.6127081138
2020-03-19,1563.130684931507,762.4621761252445,4705.252307692307,3489.9837181996086,36077.477232876714,22674.576908023482,4781.449244618396,84164.93739334636,22358.22477495108,107181.2215342466,6533.214769230769,1034.5390215264185,25791.726262230924,8064.860023483366,2615.478223091977,5622.01450489237,2255.548923076923,59325.79646996838,4376.968954990215,1845.9115068493147,36381.80604847207
2020-03-20,1563.130684931507,735.0534050880625,4527.999652265542,3344.5677299412914,36077.477232876714,21943.138943248534,4661.161213307242,81449.93941291585,21928.258913894326,103227.81582191783,6287.1005142255,1018.8641878669273,25295.73152641879,7804.70324853229,2567.340587084149,5414.6451174168315,2170.579614330875,56746.41401475236,4361.11037181996,1622.1646575342465,34581.999388830336
2020-03-21,1563.130684931507,707.6446340508805,4350.746996838777,3199.1517416829747,36077.477232876714,21211.700978473582,4540.873181996087,78734.94143248531,21498.293052837576,99274.41010958907,6040.986259220232,1003.1893542074362,24799.736790606657,7544.546473581213,2519.2029510763214,5207.275729941293,2085.610305584826,54167.03155953634,4345.251788649705,1398.4178082191781,32782.19272918861
2020-03-22,1563.130684931507,680.2358630136986,4173.4943414120125,3053.7357534246576,36077.477232876714,20480.263013698626,4420.585150684932,76019.94345205478,21068.327191780827,95321.00439726029,5794.8720042149625,987.514520547945,24303.742054794526,7284.389698630136,2471.0653150684934,4999.906342465754,2000.6409968387777,51587.64910432033,4329.393205479451,1174.6709589041097,30982.386069546887
2020-03-23,1563.130684931507,652.8270919765166,3996.241685985247,2908.3197651663404,36077.477232876714,19748.825048923678,4300.297119373778,73304.94547162426,20638.361330724074,91367.59868493152,5548.757749209693,971.8396868884538,23807.74731898239,7024.23292367906,2422.9276790606655,4792.536954990216,1915.671688092729,49008.26664910431,4313.5346223091965,1678.1013698630138,29182.579409905156
2020-03-24,1563.130684931507,625.4183209393345,3818.9890305584818,2762.9037769080232,36077.477232876714,19017.38708414873,4180.009088062624,70589.94749119374,20208.39546966732,87414.19297260276,5302.643494204425,956.1648532289626,23311.752583170255,6764.076148727985,2374.7900430528375,4585.167567514678,1830.7023793466806,46428.8841938883,4297.676039138942,1594.196301369863,27382.772750263426
2020-03-25,1563.130684931507,598.0095499021526,3641.736375131717,2617.487788649706,36077.477232876714,18285.949119373778,4059.721056751469,67874.94951076321,19778.42960861057,83460.78726027398,5056.529239199156,940.4900195694714,22815.757847358123,6503.919373776907,2326.6524070450096,4377.79818003914,1745.7330706006321,43849.50173867229,4281.817455968687,1510.2912328767122,25582.9660906217
2020-03-26,1563.130684931507,570.6007788649707,3464.483719704952,2472.071800391389,36077.477232876714,17554.511154598826,3939.433025440314,65159.95153033267,19348.46374755382,79507.3815479452,4810.414984193887,924.8151859099803,22319.76311154599,6243.7625988258305,2278.514771037182,4170.428792563601,1660.7637618545837,41270.119283456275,4265.958872798433,1426.3861643835614,23783.159430979977
2020-03-27,1563.1306849315067,543.1920078277886,3287.231064278187,2326.6558121330722,36077.477232876714,16823.073189823874,3819.1449941291594,62444.95354990215,18918.497886497065,75553.97583561642,4564.30072918862,909.1403522504891,21823.768375733856,5983.6058238747555,2230.3771350293537,3963.0594050880622,1575.7944531085354,38690.73682824026,4250.100289628179,1342.4810958904109,21983.352771338246
2020-03-28,1563.1306849315065,515.7832367906066,3109.978408851423,2181.239823874755,36077.47723287671,16091.635225048925,3698.8569628180053,59729.955569471625,18488.532025440312,71600.57012328766,4318.1864741833515,893.4655185909977,21327.77363992172,5723.44904892368,2182.2394990215257,3755.690017612524,1490.8251443624872,36111.354373024245,4234.241706457925,1258.5760273972605,20183.54611169652
2020-03-29,1563.1306849315065,488.37446575342466,2932.725753424658,2035.823835616438,36077.47723287671,15360.197260273973,3578.5689315068503,57014.95758904109,18058.566164383563,67647.1644109589,4072.072219178083,877.7906849315066,20831.77890410959,5463.292273972603,2134.101863013698,3548.320630136986,1405.8558356164385,33531.97191780822,4218.38312328767,1174.6709589041097,18383.73945205479
2020-03-30,1563.1306849315065,488.37446575342466,2932.725753424658,2035.823835616438,36077.47723287671,15360.197260273973,3578.5689315068503,57014.95758904109,18058.566164383563,67647.1644109589,4072.072219178083,877.7906849315066,20831.77890410959,5463.292273972603,2134.101863013698,3548.320630136986,1405.8558356164385,33531.97191780822,4218.38312328767,1174.6709589041097,18383.73945205479
2020-03-31,1563.1306849315065,488.37446575342466,2932.725753424658,2035.823835616438,36077.47723287671,15360.197260273973,3578.5689315068503,57014.95758904109,18058.566164383563,67647.1644109589,4072.072219178083,877.7906849315066,20831.77890410959,5463.292273972603,2134.101863013698,3548.320630136986,1405.8558356164385,33531.97191780822,4218.38312328767,1174.6709589041097,18383.73945205479
2020-04-01,1563.1306849315065,488.37446575342466,2932.725753424658,2035.823835616438,36077.47723287671,15360.197260273973,3578.5689315068503,57014.95758904109,18058.566164383563,67647.1644109589,4072.072219178083,877.7906849315066,20831.77890410959,5463.292273972603,2134.101863013698,3548.320630136986,1405.8558356164385,33531.97191780822,4218.38312328767,1174.6709589041097,18383.73945205479
2020-04-02,1563.1306849315065,488.37446575342466,2932.725753424658,2035.823835616438,36077.47723287671,15360.197260273973,3578.5689315068503,57014.95758904109,18058.566164383563,67647.1644109589,4072.072219178083,877.7906849315066,20831.77890410959,5463.292273972603,2134.101863013698,3548.320630136986,1405.8558356164385,33531.97191780822,4218.38312328767,1174.6709589041097,18383.73945205479
2020-04-03,1563.1306849315065,488.37446575342466,2932.725753424658,2035.823835616438,36077.47723287671,15360.197260273973,3578.5689315068503,57014.95758904109,18058.566164383563,67647.1644109589,4072.072219178083,877.7906849315066,20831.77890410959,5463.292273972603,2134.101863013698,3548.320630136986,1405.8558356164385,33531.97191780822,4218.38312328767,1174.6709589041097,18383.73945205479
2020-04-04,1563.1306849315065,488.37446575342466,2932.725753424658,2035.823835616438,36077.47723287671,15360.197260273973,3578.5689315068503,57014.95758904109,18058.566164383563,67647.1644109589,4072.072219178083,877.7906849315066,20831.77890410959,5463.292273972603,2134.101863013698,3548.320630136986,1405.8558356164385,33531.97191780822,4218.38312328767,1174.6709589041097,18383.73945205479
2020-04-05,1563.1306849315065,488.37446575342466,2932.725753424658,2035.823835616438,36077.47723287671,15360.197260273973,3578.5689315068503,57014.95758904109,18058.566164383563,67647.1644109589,4072.072219178083,877.7906849315066,20831.77890410959,5463.292273972603,2134.101863013698,3548.320630136986,1405.8558356164385,33531.97191780822,4218.38312328767,1174.6709589041097,18383.73945205479
2020-04-06,1563.1306849315065,488.37446575342466,2932.725753424658,2035.823835616438,36077.47723287671,15360.197260273973,3578.5689315068503,57014.95758904109,18058.566164383563,67647.1644109589,4072.072219178083,877.7906849315066,20831.77890410959,5463.292273972603,2134.101863013698,3548.320630136986,1405.8558356164385,33531.97191780822,4218.38312328767,1174.6709589041097,18383.73945205479
2020-04-07,1563.1306849315065,488.37446575342466,2932.725753424658,2035.823835616438,36077.47723287671,15360.197260273973,3578.5689315068503,57014.95758904109,18058.566164383563,67647.1644109589,4072.072219178083,877.7906849315066,20831.77890410959,5463.292273972603,2134.101863013698,3548.320630136986,1405.8558356164385,33531.97191780822,4218.38312328767,1174.6709589041097,18383.73945205479
2020-04-08,1563.1306849315065,488.37446575342466,2932.725753424658,2035.823835616438,36077.47723287671,15360.197260273973,3578.5689315068503,57014.95758904109,18058.566164383563,67647.1644109589,4072.072219178083,877.7906849315066,20831.77890410959,5463.292273972603,2134.101863013698,3548.320630136986,1405.8558356164385,33531.97191780822,4218.38312328767,1174.6709589041097,18383.73945205479
2020-04-09,1563.1306849315065,488.37446575342466,2932.725753424658,2035.823835616438,36077.47723287671,15360.197260273973,3578.5689315068503,57014.95758904109,18058.566164383563,67647.1644109589,4072.072219178083,877.7906849315066,20831.77890410959,5463.292273972603,2134.101863013698,3548.320630136986,1405.8558356164385,33531.97191780822,4218.38312328767,1174.6709589041097,18383.73945205479
2020-04-10,1563.1306849315065,488.37446575342466,2932.725753424658,2035.823835616438,36077.47723287671,15360.197260273973,3578.5689315068503,57014.95758904109,18058.566164383563,67647.1644109589,4072.072219178083,877.7906849315066,20831.77890410959,5463.292273972603,2134.101863013698,3548.320630136986,1405.8558356164385,33531.97191780822,4218.38312328767,1174.6709589041097,18383.73945205479
2020-04-11,1563.1306849315065,488.37446575342466,2932.725753424658,2035.823835616438,36077.47723287671,15360.197260273973,3578.5689315068503,57014.95758904109,18058.566164383563,67647.1644109589,4072.072219178083,877.7906849315066,20831.77890410959,5463.292273972603,2134.101863013698,3548.320630136986,1405.8558356164385,33531.97191780822,4218.38312328767,1174.6709589041097,18383.73945205479
2020-04-12,1563.1306849315065,488.37446575342466,2932.725753424658,2035.823835616438,36077.47723287671,15360.197260273973,3578.5689315068503,57014.95758904109,18058.566164383563,67647.1644109589,4072.072219178083,877.7906849315066,20831.778904109586,5463.292273972603,2134.101863013698,3548.320630136986,1405.8558356164385,33531.97191780822,4218.38312328767,1174.6709589041097,18383.73945205479
2020-04-13,1563.1306849315065,488.37446575342466,2932.725753424658,2035.823835616438,36077.47723287671,15360.197260273973,3578.5689315068503,57014.95758904109,18058.566164383563,67647.1644109589,4072.072219178083,877.7906849315066,20831.778904109586,5463.292273972603,2134.101863013698,3548.320630136986,1405.8558356164385,33531.97191780822,4218.38312328767,1174.6709589041097,18383.73945205479
2020-04-14,1563.1306849315065,488.37446575342466,2932.725753424658,2035.823835616438,36077.47723287671,15360.197260273973,3578.5689315068503,57014.95758904109,18058.566164383563,67647.1644109589,4072.072219178083,877.7906849315066,20831.778904109586,5463.292273972603,2134.101863013698,3548.320630136986,1405.8558356164385,33531.97191780822,4218.38312328767,1174.6709589041097,18383.73945205479
2020-04-15,1563.1306849315065,488.37446575342466,2932.725753424658,2035.823835616438,36077.47723287671,15360.197260273973,3578.5689315068503,57014.95758904109,18058.566164383563,67647.1644109589,4072.072219178083,877.7906849315066,20831.778904109586,5463.292273972603,2134.101863013698,3548.320630136986,1405.8558356164385,33531.97191780822,4218.38312328767,1174.6709589041097,18383.73945205479
2020-04-16,1563.1306849315065,488.37446575342466,2932.725753424658,2035.823835616438,36077.47723287671,15360.197260273973,3578.5689315068503,57014.95758904109,18058.566164383563,67647.1644109589,4072.072219178083,877.7906849315066,20831.778904109586,5463.292273972603,2134.101863013698,3548.320630136986,1405.8558356164385,33531.97191780822,4218.38312328767,1174.6709589041097,18383.73945205479
