date,code,deaths,infectives,recovered,removed,tested,recoveredTotal,deathsTotal,infectivesTotal,testedTotal,removedTotal,activeInfectives
2020-03-11,BAS,0,1,0,0,7,0,0,8,155,0,8
2020-03-11,BZ,0,37,0,0,39,0,0,75,75,0,74
2020-03-11,CAL,0,6,0,0,45,2,0,19,405,2,17
2020-03-11,EMR,28,206,7,35,1146,38,113,1739,6640,151,1597
2020-03-11,FVG,3,10,7,10,471,10,6,126,2073,16,120
2020-03-11,LAZ,0,34,8,8,34,19,6,150,3591,25,131
2020-03-11,LIG,0,53,0,0,331,5,8,194,1025,13,180
2020-03-11,LOM,149,1489,4,153,4150,900,617,7280,25629,1517,5682
2020-03-11,MAR,5,85,0,5,219,0,18,479,1656,18,466
2020-03-11,MOL,0,1,0,0,8,0,0,16,233,0,16
2020-03-11,PIE,4,48,0,4,57,0,21,501,2431,21,481
2020-03-11,PUG,2,18,0,2,162,1,5,77,909,6,73
2020-03-11,SAR,0,17,0,0,79,0,0,37,283,0,37
2020-03-11,TOS,0,56,2,2,231,5,1,320,2804,6,314
2020-03-11,UMB,0,9,2,2,80,2,0,46,340,2,46
2020-03-11,VDA,1,3,0,1,10,0,1,20,99,1,20
2020-03-11,VEN,3,167,7,10,4757,54,29,1023,21400,83,908
2020-03-12,ABR,1,46,4,5,557,4,2,84,867,6,83
2020-03-12,BAS,0,0,0,0,0,0,0,8,155,0,8
2020-03-12,BZ,1,29,0,1,532,0,1,104,607,1,103
2020-03-12,CAL,0,14,-1,-1,78,1,0,33,483,1,31
2020-03-12,EMR,33,208,5,38,960,43,146,1947,7600,189,1770
2020-03-12,FVG,2,41,1,3,531,11,8,167,2604,19,151
2020-03-12,LAZ,3,50,0,3,2001,19,9,200,5592,28,173
2020-03-12,LIG,3,80,15,18,149,20,11,274,1174,31,260
2020-03-12,LOM,127,1445,185,312,3905,1085,744,8725,29534,1829,6974
2020-03-12,MAR,4,113,0,4,251,0,22,592,1907,22,574
2020-03-12,MOL,0,0,0,0,5,0,0,16,238,0,16
2020-03-12,PIE,5,79,0,5,448,0,26,580,2879,26,556
2020-03-12,PUG,0,27,0,0,360,1,5,104,1269,6,98
2020-03-12,SAR,0,2,0,0,19,0,0,39,302,0,39
2020-03-12,TOS,4,44,2,6,361,7,5,364,3165,12,356
2020-03-12,UMB,0,18,0,0,118,2,0,64,458,2,62
2020-03-12,VDA,0,7,0,0,19,0,1,27,118,1,26
2020-03-12,VEN,3,361,1,4,2038,55,32,1384,23438,87,1259
2020-03-13,ABR,0,5,0,0,91,4,2,89,958,6,83
2020-03-13,BAS,0,2,0,0,2,0,0,10,155,0,10
2020-03-13,BZ,1,21,0,1,204,0,2,125,811,2,123
2020-03-13,CAL,0,5,0,0,21,1,0,38,504,1,37
2020-03-13,EMR,55,316,8,63,1187,51,201,2263,8787,252,2048
2020-03-13,FVG,2,90,0,2,545,11,10,257,3149,21,238
2020-03-13,LAZ,2,77,5,7,899,24,11,277,6491,35,247
2020-03-13,LIG,6,71,4,10,268,24,17,345,1442,41,313
2020-03-13,LOM,146,1095,113,259,3166,1198,890,9820,32700,2088,7757
2020-03-13,MAR,5,133,0,5,311,0,27,725,2218,27,703
2020-03-13,MOL,0,1,0,0,5,0,0,17,243,0,17
2020-03-13,PIE,20,260,0,20,260,0,46,840,3105,46,811
2020-03-13,PUG,0,25,2,2,180,3,5,129,1449,8,123
2020-03-13,SAR,0,4,0,0,202,0,0,43,504,0,43
2020-03-13,TOS,0,106,3,3,884,10,5,470,4049,15,456
2020-03-13,UMB,1,12,0,1,118,2,1,76,576,3,74
2020-03-13,VDA,0,1,0,0,71,0,1,28,189,1,27
2020-03-13,VEN,10,211,45,55,2253,100,42,1595,25691,142,1466
2020-03-14,ABR,0,23,0,0,274,4,2,112,1232,6,106
2020-03-14,BAS,0,0,0,0,0,0,0,10,155,0,10
2020-03-14,BZ,1,48,0,1,324,0,3,173,1135,3,170
2020-03-14,CAL,0,22,0,0,207,1,0,60,711,1,59
2020-03-14,EMR,40,381,3,43,1256,54,241,2644,10043,295,2366
2020-03-14,FVG,3,44,6,9,227,17,13,301,3376,30,280
2020-03-14,LAZ,2,80,0,2,844,24,13,357,7335,37,320
2020-03-14,LIG,10,118,28,38,308,52,27,463,1750,79,421
2020-03-14,LOM,76,1865,462,538,4438,1660,966,11685,37138,2626,9363
2020-03-14,MAR,9,174,0,9,343,0,36,899,2561,36,872
2020-03-14,MOL,0,0,0,0,4,0,0,17,247,0,17
2020-03-14,PIE,13,33,0,13,575,0,59,873,3680,59,824
2020-03-14,PUG,3,37,-1,2,232,2,8,166,1681,10,158
2020-03-14,SAR,0,4,0,0,26,0,0,47,530,0,47
2020-03-14,TOS,1,160,0,1,546,10,6,630,4595,16,613
2020-03-14,UMB,0,31,1,1,172,3,1,107,748,4,104
2020-03-14,VDA,0,14,0,0,42,0,1,42,231,1,41
2020-03-14,VEN,13,342,7,20,1289,107,55,1937,26980,162,1753
2020-03-15,ABR,1,25,2,3,187,6,3,137,1419,9,131
2020-03-15,BAS,0,1,0,0,53,0,0,11,208,0,11
2020-03-15,BZ,2,31,0,2,362,0,5,204,1497,5,200
2020-03-15,CAL,1,8,0,1,173,1,1,68,884,2,67
2020-03-15,EMR,43,449,14,57,2011,68,284,3093,12054,352,2772
2020-03-15,FVG,1,46,0,1,46,17,14,347,3407,31,317
2020-03-15,LAZ,3,79,0,3,1010,24,16,436,8345,40,397
2020-03-15,LIG,6,96,-19,-13,223,33,33,559,1973,66,479
2020-03-15,LOM,252,1587,351,603,3231,2011,1218,13272,40369,3229,10412
2020-03-15,MAR,10,234,0,10,385,0,46,1133,2946,46,1097
2020-03-15,MOL,0,0,0,0,1,0,0,17,248,0,17
2020-03-15,PIE,22,238,0,22,695,0,81,1111,4375,81,1049
2020-03-15,PUG,8,64,0,8,336,2,16,230,2017,18,220
2020-03-15,SAR,2,30,0,2,83,0,2,77,613,2,77
2020-03-15,TOS,2,151,0,2,537,10,8,781,5132,18,763
2020-03-15,UMB,0,36,0,0,217,3,1,143,965,4,139
2020-03-15,VDA,0,15,0,0,15,0,1,57,230,1,56
2020-03-15,VEN,8,235,13,21,5566,120,63,2172,32546,183,1968
2020-03-16,ABR,1,39,1,2,114,7,4,176,1533,11,167
2020-03-16,BAS,0,1,0,0,22,0,0,12,230,0,12
2020-03-16,BZ,1,37,0,1,243,0,6,241,1740,6,235
2020-03-16,CAL,0,21,0,0,146,1,1,89,1030,2,87
2020-03-16,EMR,62,429,20,82,1042,88,346,3522,13096,434,3144
2020-03-16,FVG,8,39,1,9,1444,18,22,386,4851,40,355
2020-03-16,LAZ,3,87,8,11,985,32,19,523,9330,51,481
2020-03-16,LIG,17,108,9,26,216,42,50,667,2189,92,600
2020-03-16,LOM,202,1377,357,559,3196,2368,1420,14649,43565,3788,11186
2020-03-16,MAR,11,109,0,11,279,0,57,1242,3225,57,1196
2020-03-16,MOL,1,4,5,6,5,5,1,21,253,6,21
2020-03-16,PIE,30,405,0,30,1213,0,111,1516,5588,111,1432
2020-03-16,PUG,0,0,0,0,0,2,16,230,2017,18,212
2020-03-16,SAR,0,30,0,0,184,0,2,107,797,2,105
2020-03-16,TOS,6,85,1,7,778,11,14,866,5910,25,846
2020-03-16,UMB,0,21,1,1,128,4,1,164,1093,5,160
