date,code,deaths,incidenceRate,populationBaseline,recovered,susceptiblePopulation,susceptibleRate,tested,testedPositive,totalPopulation,region,touristArrivals,broadbandAccess,dischargeRateDiabetes,dischargeRateHypertension,dischargeRateCancer,dischargeRateChd,dischargeRateTB,availableBeds,riskOfPovertyOrSocialExclusion,medianAge,populationDensity,railTravelers
2020-02-27,EMR,0,1.122916204399496e-5,4452657,0,4452614,0.9999824825072113,456,50,4452692,Emilia-Romagna,8355467,88,81,73.1,1424.7,105.4,10.8,16316,14.2,47.5,201.7,-609558
2020-02-27,FVG,0,0,1213361,0,1213371,1,27,0,1213371,Friuli-Venezia Giulia,1237869,87,38.6,63.9,1352.8,81.9,6.5,4268,13.6,49.2,160.5,-10437270
2020-02-27,LAZ,0,0,5870091,0,5870139,1,428,0,5870139,Lazio,4606265,87,48.2,64.1,1194.4,126.1,12.8,19483,27.5,46.3,347.2,-1081910
2020-02-27,LIG,0,5.167020715231925e-6,1548269,0,1548262,0.9999877283258013,12,8,1548281,Liguria,2550375,84,46.2,52.7,1240.4,94.9,10.6,5517,18.8,50.9,287.3,-11053151
2020-02-27,LOM,5,1.443467012647459e-5,10045185,40,10045033,0.9999775018244925,112,145,10045259,Lombardia,7661191,87,70.5,27.2,1200.9,142.4,9.7,35870,15.7,46.5,436,-1132684
2020-02-27,MAR,0,1.3132398875604007e-6,1522939,0,1522948,0.9999980301401686,18,2,1522951,Marche,1872348,86,25.7,43.1,1162,91.1,9.3,4943,17.6,47.9,162.9,-70119
2020-02-27,MOL,0,0,305150,0,305152,1,0,0,305152,Molise,127283,77,30.1,49.4,1064.7,339.3,9.4,1130,27.1,48,69.1,-277346
2020-02-27,PIE,0,0,4349743,0,4349779,1,0,0,4349779,Piemonte,3235861,83,27.5,32.1,1046.2,105,7.8,15721,18.7,48.7,173.6,-543843
2020-02-27,PUG,0,2.48575414300643e-7,4022892,0,4022923,0.9999997514245857,0,1,4022924,Puglia,3023423,77,43.4,77.9,1149.7,167.8,8.7,11620,35.7,45.7,209.3,-130351
2020-02-27,SAR,0,0,1637083,0,1637097,1,0,0,1637097,Sardegna,1629624,84,53.8,33.6,1015.6,53.1,9.1,5215,35,48.3,69.1,-181840
2020-02-27,SIC,0,2.0030907690566545e-7,4992245,2,4992281,0.9999991987636924,0,1,4992285,Sicilia,2686092,76,43.8,47.7,864.6,82.6,8.5,13820,51.6,44.9,195.1,-179448
2020-02-27,TN,0,0,540271,0,540275,1,29,0,540275,Provincia Autonoma di Trento,2705981,91,54.9,56.4,712.5,113.9,8.9,1918,20.6,46.1,87.8,-386517
2020-02-27,TOS,0,0,3723938,0,3723966,0.9999994629384571,47,0,3723968,Toscana,6321753,86,28.6,25.1,1221.5,90.6,9.5,11029,19.3,48.4,163.7,-2901803
2020-02-27,UMB,0,0,880665,0,880673,1,0,0,880673,Umbria,1701476,86,40.1,59.5,1277.9,169.6,9.8,2718,19.2,48.3,106.3,-110846
2020-02-27,VDA,0,0,125473,0,125475,1,2,0,125475,Valle d'Aosta/Vallée d'Aoste,755502,85,15.8,70.3,1126.9,124.9,6.3,462,14.6,48,38.8,-8378
2020-02-27,VEN,0,8.165948403455012e-6,4898351,0,4898313,0.9999842805493233,1264,40,4898390,Veneto,6826396,87,72.4,46,1190.4,98.8,7.4,16812,14.7,47.2,282.8,-4839448
2020-02-28,ABR,0,0,1309570,0,1309584,0.9999992363993173,0,0,1309585,Abruzzo,1441899,84,48.8,73.1,1029.6,111.5,7.7,4087,30.1,47.4,121.5,-171690
2020-02-28,BAS,0,0,562007,0,562013,1,0,0,562013,Basilicata,749956,78,22,47.3,989.9,110.8,7.6,1720,39.2,47,56.4,-34832
2020-02-28,BZ,0,0,530364,0,530369,0.999998114523823,0,0,530370,Provincia Autonoma di Bolzano/Bozen,2576564,85,69.8,51.3,941.1,47.7,7,1919,12.9,44,71.8,-243937
2020-02-28,CAL,0,5.143585768521152e-7,1944145,0,1944168,0.9999994856414232,7,1,1944169,Calabria,1486385,77,35.5,49.8,605.2,121.3,10.1,4150,44.5,45.2,128.6,-6877323
2020-02-28,CAM,0,1.726260934352541e-7,5792795,0,5792863,0.9999993094956262,203,1,5792867,Campania,3354019,79,43.9,66.5,863.5,191,7,15347,53.6,43.4,426.4,-2044995
2020-02-28,EMR,1,1.0779997983242044e-5,4452639,0,4452566,0.9999719270885853,244,48,4452691,Emilia-Romagna,8355467,88,81,73.1,1424.7,105.4,10.8,16316,14.2,47.5,201.7,-588539
2020-02-28,FVG,0,0,1213356,0,1213371,1,28,0,1213371,Friuli-Venezia Giulia,1237869,87,38.6,63.9,1352.8,81.9,6.5,4268,13.6,49.2,160.5,-9962849
2020-02-28,LAZ,0,0,5870067,0,5870139,1,59,0,5870139,Lazio,4606265,87,48.2,64.1,1194.4,126.1,12.8,19483,27.5,46.3,347.2,-841486
2020-02-28,LIG,0,0,1548263,0,1548262,0.9999877283258013,34,0,1548281,Liguria,2550375,84,46.2,52.7,1240.4,94.9,10.6,5517,18.8,50.9,287.3,-6754703
2020-02-28,LOM,3,1.274233329643366e-5,10045144,0,10044905,0.9999650581329137,1515,128,10045256,Lombardia,7661191,87,70.5,27.2,1200.9,142.4,9.7,35870,15.7,46.5,436,-1074598
2020-02-28,MAR,0,1.9698598313406013e-6,1522933,0,1522945,0.9999960602803373,1,3,1522951,Marche,1872348,86,25.7,43.1,1162,91.1,9.3,4943,17.6,47.9,162.9,-78884
2020-02-28,MOL,0,0,305149,0,305152,1,0,0,305152,Molise,127283,77,30.1,49.4,1064.7,339.3,9.4,1130,27.1,48,69.1,-554692
2020-02-28,PIE,0,2.069070635542633e-6,4349725,0,4349770,0.9999979309293645,71,9,4349779,Piemonte,3235861,83,27.5,32.1,1046.2,105,7.8,15721,18.7,48.7,173.6,-460175
2020-02-28,PUG,0,4.97150828601286e-7,4022876,0,4022921,0.9999992542737571,242,2,4022924,Puglia,3023423,77,43.4,77.9,1149.7,167.8,8.7,11620,35.7,45.7,209.3,-160431
2020-02-28,SAR,0,0,1637076,0,1637097,1,0,0,1637097,Sardegna,1629624,84,53.8,33.6,1015.6,53.1,9.1,5215,35,48.3,69.1,-181840
2020-02-28,SIC,0,0,4992225,0,4992281,0.9999991987636924,0,0,4992285,Sicilia,2686092,76,43.8,47.7,864.6,82.6,8.5,13820,51.6,44.9,195.1,-213094
2020-02-28,TN,0,0,540269,0,540275,1,0,0,540275,Provincia Autonoma di Trento,2705981,91,54.9,56.4,712.5,113.9,8.9,1918,20.6,46.1,87.8,-386517
2020-02-28,TOS,0,1.6111846288689913e-6,3723923,1,3723960,0.9999978517538282,27,6,3723968,Toscana,6321753,86,28.6,25.1,1221.5,90.6,9.5,11029,19.3,48.4,163.7,-1785725
2020-02-28,UMB,0,0,880661,0,880673,1,0,0,880673,Umbria,1701476,86,40.1,59.5,1277.9,169.6,9.8,2718,19.2,48.3,106.3,-22169
2020-02-28,VDA,0,0,125472,0,125475,1,0,0,125475,Valle d'Aosta/Vallée d'Aoste,755502,85,15.8,70.3,1126.9,124.9,6.3,462,14.6,48,38.8,75403
2020-02-28,VEN,0,8.165948403455012e-6,4898331,0,4898273,0.9999761146009198,1250,40,4898390,Veneto,6826396,87,72.4,46,1190.4,98.8,7.4,16812,14.7,47.2,282.8,-4672571
2020-02-29,ABR,0,7.636006826590103e-7,1309565,0,1309583,0.9999984727986346,10,1,1309585,Abruzzo,1441899,84,48.8,73.1,1029.6,111.5,7.7,4087,30.1,47.4,121.5,-109257
